"FA-Fs","FA-Con","FA-Mot","FA-Act","Cogni","Depr","PhF","SocF","RolePh","RoleE","EmotWB","Pain","HealthP","ChangeH","FutU","Visual","Motor","CommD","HA","Seiz","Drow"
0,0.185077009896879,0.163403124305078,0.144342940814379,0,0.124343169567825,0.185766496233883,0.0384607765165933,0.0194182285870494,0.0955535588597303,0.00699240014608974,0.00393634458102602,0.0962234792908033,0,0.00990575627021214,0,0.0478619269721104,0,0,0,0.190491184193159
0.185077009896879,0,0,0,0.494390628145104,0.00841359611850731,0,0.115429729311209,0.0394249247886451,0.157353881368105,0,0,0,0,0,0.0222858762811388,0,0.0198511558496857,0,0,0.0220155048573406
0.163403124305078,0,0,0.393869524208504,0.0630825895766808,0.100619847285359,0.126664088184887,0,0,0,0,-0.0999444261589235,0.0569514785579813,0,0.122398027429981,-0.0362836024787765,0.0275044594185298,0,0,0,0.00575041403766125
0.144342940814379,0,0.393869524208504,0,0,0,0,0,0.0566223321353513,0,0,-0.0136609726720791,0,0.0509815075776255,0.0762123596771158,-0.0304363642996203,0.205835261203162,0,0,0,0
0,0.494390628145104,0.0630825895766808,0,0,0.144045355149336,0,0,0.0790387045684716,0.0152604274542288,0.00567429397740025,0,0,0.0466482280674388,0.0260172304352612,0,0.0145806757425841,0.086678721035283,0,0,0
0.124343169567825,0.00841359611850731,0.100619847285359,0,0.144045355149336,0,0,0.151962231351647,0,0.067060477858268,0.358624994209554,0,0,0,0.0975967022418352,0,0.00416258564186317,0,0,0,0
0.185766496233883,0,0.126664088184887,0,0,0,0,0.0531575869716373,0.0614168319567317,0,0,0.356987238317927,0.177330384056255,0.0181819947825147,0,0.0548432676191876,0.0173255730255915,0,0.016103921322693,0,0
0.0384607765165933,0.115429729311209,0,0,0,0.151962231351647,0.0531575869716373,0,0.00940862808032054,0.119566376356907,0.065456695231054,0.133795338528521,0.00721210179029436,0.184875502778569,0,0,0.0859307533879108,0.0543068584930851,0,0,0.0268931505644646
0.0194182285870494,0.0394249247886451,0,0.0566223321353513,0.0790387045684716,0,0.0614168319567317,0.00940862808032054,0,0.155013516432684,0,0,0.0845882093294381,0.184903953005733,0.0696722265516933,0,0.123236688002679,0,0,0,0.0891891482504198
0.0955535588597303,0.157353881368105,0,0,0.0152604274542288,0.067060477858268,0,0.119566376356907,0.155013516432684,0,0.18494066654893,0,0,0,0,0.0535727947331333,0,0,0,0,0
0.00699240014608974,0,0,0,0.00567429397740025,0.358624994209554,0,0.065456695231054,0,0.18494066654893,0,0,0.0366043506809512,0,0.294435349164642,0,0,0.0167798748021019,0.11080756702591,0.0984223852878355,0.0295017662886571
0.00393634458102602,0,-0.0999444261589235,-0.0136609726720791,0,0,0.356987238317927,0.133795338528521,0,0,0,0,0.0598898780822524,0,0,0,0.0630282245590178,0.0397752763873252,0.280358456271388,0,0
0.0962234792908033,0,0.0569514785579813,0,0,0,0.177330384056255,0.00721210179029436,0.0845882093294381,0,0.0366043506809512,0.0598898780822524,0,0,0.0667330849031139,0,0,0,0.0987189693947838,0.0421738414309883,0
0,0,0,0.0509815075776255,0.0466482280674388,0,0.0181819947825147,0.184875502778569,0.184903953005733,0,0,0,0,0,0.104315833984819,0,0.0151246355164534,0,0.0530523274859279,0,0
0.00990575627021214,0,0.122398027429981,0.0762123596771158,0.0260172304352612,0.0975967022418352,0,0,0.0696722265516933,0,0.294435349164642,0,0.0667330849031139,0.104315833984819,0,0,0,0,0,0.0422904444839779,0
0,0.0222858762811388,-0.0362836024787765,-0.0304363642996203,0,0,0.0548432676191876,0,0,0.0535727947331333,0,0,0,0,0,0,0.178794213897726,0.203509007187682,0,0.138505472418257,0
0.0478619269721104,0,0.0275044594185298,0.205835261203162,0.0145806757425841,0.00416258564186317,0.0173255730255915,0.0859307533879108,0.123236688002679,0,0,0.0630282245590178,0,0.0151246355164534,0,0.178794213897726,0,0.00586527728231509,0,0.0142826574275518,0.201024613909733
0,0.0198511558496857,0,0,0.086678721035283,0,0,0.0543068584930851,0,0,0.0167798748021019,0.0397752763873252,0,0,0,0.203509007187682,0.00586527728231509,0,0.00719542493074955,0.105447169711651,0
0,0,0,0,0,0,0.016103921322693,0,0,0,0.11080756702591,0.280358456271388,0.0987189693947838,0.0530523274859279,0,0,0,0.00719542493074955,0,-0.0506940646581009,0
0,0,0,0,0,0,0,0,0,0,0.0984223852878355,0,0.0421738414309883,0,0.0422904444839779,0.138505472418257,0.0142826574275518,0.105447169711651,-0.0506940646581009,0,0
0.190491184193159,0.0220155048573406,0.00575041403766125,0,0,0,0,0.0268931505644646,0.0891891482504198,0,0.0295017662886571,0,0,0,0,0,0.201024613909733,0,0,0,0
